ticker,name,date_added,date_removed,is_current
A,Agilent Technologies,2000-06-05,,True
AABA,,1999-12-08,2017-06-19,False
AAL,,1996-01-02,1997-01-15,False
AAL,,2015-03-23,2024-09-23,False
AAMRQ,,1996-01-02,2003-03-14,False
AAP,,2015-07-09,2023-08-25,False
AAPL,Apple Inc.,1982-11-30,,True
ABBV,AbbVie,2013-01-02,,True
ABC,,2001-08-30,2023-08-30,False
ABI,,1996-01-02,2008-11-24,False
ABKFQ,,2000-12-11,2008-06-11,False
ABMD,,2018-05-31,2022-12-22,False
ABNB,Airbnb,2023-09-18,,True
ABS,,1996-01-02,2006-06-02,False
ABT,Abbott Laboratories,1957-03-04,,True
ABX,,1996-01-02,2002-07-22,False
ACAS,,2007-07-09,2009-03-04,False
ACGL,Arch Capital Group,2022-11-01,,True
ACKH,,1996-01-02,2000-11-17,False
ACN,Accenture,2011-07-06,,True
ACS,,2004-04-02,2010-02-08,False
ACV,,1996-01-02,2006-11-17,False
ADBE,Adobe Inc.,1997-05-06,,True
ADCT,,1999-08-02,2007-07-02,False
ADI,Analog Devices,1999-10-12,,True
ADM,Archer Daniels Midland,1957-03-04,,True
ADP,Automatic Data Processing,1981-03-31,,True
ADS,,2013-12-23,2020-06-22,False
ADSK,Autodesk,1989-12-01,,True
ADT,,2012-10-02,2016-05-02,False
AEE,Ameren,1991-09-19,,True
AEP,American Electric Power,1957-03-04,,True
AES,AES Corporation,1998-10-02,,True
AET,,1996-01-02,2018-11-29,False
AFL,Aflac,1999-05-28,,True
AFS-A,,1998-04-08,2000-12-01,False
AGC,,1996-01-02,2001-08-29,False
AGN,,1996-01-02,2020-05-12,False
AHM,,1996-01-02,1998-10-01,False
AIG,American International Group,1980-03-31,,True
AIT,,1996-01-02,1999-10-11,False
AIV,,2003-03-14,2020-12-21,False
AIZ,Assurant,2007-04-10,,True
AJG,Arthur J. Gallagher & Co.,2016-05-31,,True
AKAM,Akamai Technologies,2007-07-12,,True
AKS,,2008-07-01,2011-12-19,False
AL,,1996-01-02,2002-07-22,False
ALB,Albemarle Corporation,2016-07-01,,True
ALGN,Align Technology,2017-06-19,,True
ALK,,2016-05-13,2023-12-18,False
ALL,Allstate,1995-07-13,,True
ALLE,Allegion,2013-12-02,,True
ALTR,,2000-04-18,2015-12-28,False
ALXN,,2012-05-25,2021-07-21,False
AM,,1996-01-02,2004-05-03,False
AMAT,Applied Materials,1995-03-16,,True
AMCC,,2001-01-02,2006-05-18,False
AMCR,Amcor,2019-06-07,,True
AMD,Advanced Micro Devices,1996-01-02,2013-09-23,False
AMD,Advanced Micro Devices,2017-03-20,,True
AME,Ametek,2013-09-23,,True
AMG,,2014-07-01,2019-12-23,False
AMGN,Amgen,1992-01-02,,True
AMH,,1996-01-02,1997-09-15,False
AMP,Ameriprise Financial,1996-01-02,1999-04-05,False
AMP,Ameriprise Financial,2005-10-03,,True
AMT,American Tower,2007-11-19,,True
AMTM,,2024-09-30,2024-12-23,False
AMZN,Amazon,2005-11-21,,True
AN,,1996-01-02,1999-01-04,False
AN,,2003-02-24,2017-08-08,False
ANDV,,2007-09-27,2018-10-01,False
ANDW,,1996-01-02,2006-10-02,False
ANET,Arista Networks,2018-08-28,,True
ANF,,2007-03-29,2013-12-23,False
ANRZQ,,2011-06-02,2012-10-02,False
ANSS,,2017-06-19,2025-07-18,False
ANTM,,2002-07-25,2022-06-28,False
ANV,,1996-01-02,1999-04-12,False
AON,Aon plc,1996-04-23,,True
AOS,A. O. Smith,2017-07-26,,True
APA,APA Corporation,1997-07-28,,True
APC,,1997-07-28,2019-08-09,False
APCC,,2000-06-01,2007-02-15,False
APD,Air Products,1985-04-30,,True
APH,Amphenol,2008-09-30,,True
APO,Apollo Global Management,2024-12-23,,True
APOL,,2002-05-15,2013-07-01,False
APP,AppLovin,2025-09-22,,True
APTV,Aptiv,2012-12-24,,True
AR,,1996-01-02,1999-10-27,False
ARC,,1996-01-02,2000-04-18,False
ARE,Alexandria Real Estate Equities,2017-03-20,,True
ARES,Ares Management,2025-12-11,,True
ARG,,2009-09-09,2016-05-23,False
ARNC,,1996-01-02,2020-04-06,False
AS,,1996-01-02,1998-11-24,False
ASC,,1996-01-02,1999-06-24,False
ASH,,1996-01-02,2008-11-14,False
ASN,,2004-12-20,2007-10-08,False
ASND,,1998-06-12,1999-06-25,False
ASO,,1999-03-10,2006-11-06,False
AT,,1996-01-02,2007-11-19,False
ATGE,,2009-06-09,2012-10-01,False
ATI,,1996-01-02,2015-07-02,False
ATO,Atmos Energy,2019-02-15,,True
ATVI,,2015-08-31,2023-10-18,False
AV,,2000-10-02,2007-10-26,False
AVB,AvalonBay Communities,2007-01-10,,True
AVGO,Broadcom,2014-05-08,,True
AVP,,1996-01-02,2015-03-23,False
AVY,Avery Dennison,1987-12-31,,True
AW,,1999-08-02,2008-12-05,False
AWE,,2001-07-09,2004-10-27,False
AWK,American Water Works,2016-03-04,,True
AXON,Axon Enterprise,2023-05-04,,True
AXP,American Express,1976-06-30,,True
AYE,,2000-12-11,2011-02-28,False
AYI,,2016-05-03,2018-06-18,False
AZA-A,,1996-01-02,2001-06-25,False
AZO,AutoZone,1997-01-02,,True
BA,Boeing,1957-03-04,,True
BAC,Bank of America,1976-06-30,,True
BALL,Ball Corporation,2022-05-10,,True
BAX,Baxter International,1972-09-30,,True
BAY,,1996-02-12,1998-08-31,False
BBBY,,1999-10-01,2017-07-26,False
BBI,,1996-01-02,1998-01-12,False
BBT,,1997-12-04,2019-12-09,False
BBWI,,2021-08-03,2024-10-01,False
BBY,Best Buy,1999-06-30,,True
BC,,1996-01-02,2008-06-23,False
BCO,,1996-01-02,1996-01-22,False
BCR,,1996-01-02,2017-12-29,False
BDK,,1996-01-02,2010-03-15,False
BDX,Becton Dickinson,1972-09-30,,True
BEAM,,1996-01-02,2014-05-01,False
BEN,Franklin Resources,1998-04-30,,True
BEV,,1996-01-02,1997-12-04,False
BF-B,Brown–Forman,1982-10-31,,True
BFI,,1996-01-02,1999-08-02,False
BFO,,1996-01-02,2000-10-03,False
BG,Bunge Global,2023-03-15,,True
BGEN,,2000-01-31,2003-11-13,False
BGG,,1996-01-02,2001-04-03,False
BHF,,2017-08-07,2019-04-02,False
